,age,job,marital,education,default,housing,loan,contact,month,day_of_week
4072,47,blue-collar,divorced,basic.4y,no,no,yes,telephone,may,fri
4073,57,technician,single,professional.course,no,yes,no,telephone,jun,thu
4074,31,admin.,divorced,university.degree,no,unknown,unknown,cellular,aug,fri
4075,24,admin.,single,professional.course,no,yes,no,cellular,apr,mon
4076,32,blue-collar,married,basic.6y,no,no,yes,cellular,nov,wed
4077,31,technician,married,university.degree,no,yes,no,cellular,apr,thu
4078,34,technician,single,university.degree,no,no,no,cellular,aug,wed
4079,32,admin.,married,high.school,no,yes,no,cellular,sep,mon
4080,46,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,fri
4081,29,self-employed,married,university.degree,unknown,yes,no,telephone,may,tue
4082,31,admin.,single,university.degree,no,yes,no,cellular,aug,wed
4083,27,admin.,single,university.degree,no,no,no,telephone,oct,tue
4084,52,unemployed,married,university.degree,no,yes,no,cellular,nov,fri
4085,37,admin.,married,university.degree,no,yes,no,cellular,aug,tue
4086,41,technician,divorced,university.degree,no,yes,no,cellular,aug,fri
4087,28,management,married,high.school,unknown,yes,no,telephone,may,wed
4088,41,services,married,high.school,unknown,yes,yes,telephone,jun,tue
4089,40,unemployed,married,basic.9y,no,no,no,cellular,jun,mon
4090,29,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,tue
4091,28,self-employed,single,university.degree,no,yes,no,cellular,mar,fri
4092,52,technician,married,professional.course,no,no,no,cellular,jul,thu
4093,45,admin.,married,basic.9y,unknown,yes,yes,telephone,may,wed
4094,25,admin.,single,university.degree,no,yes,no,cellular,jul,thu
4095,32,technician,married,university.degree,no,no,no,cellular,apr,mon
4096,30,admin.,single,university.degree,no,yes,no,cellular,jun,wed
4097,33,entrepreneur,married,university.degree,no,yes,yes,cellular,jul,mon
4098,56,entrepreneur,married,university.degree,no,no,no,cellular,apr,thu
4099,27,admin.,married,university.degree,no,yes,no,cellular,jun,mon
4100,43,services,married,high.school,no,no,no,cellular,jul,mon
4101,25,admin.,single,university.degree,no,no,no,cellular,jul,mon
4102,41,technician,married,university.degree,no,yes,no,cellular,aug,mon
4103,36,blue-collar,single,basic.9y,no,no,no,telephone,may,thu
4104,33,admin.,married,high.school,no,yes,no,cellular,sep,thu
4105,26,blue-collar,single,basic.6y,unknown,no,no,cellular,jul,tue
4106,47,blue-collar,divorced,basic.4y,no,no,yes,telephone,jun,wed
4107,43,management,married,high.school,no,yes,no,telephone,jun,tue
4108,52,management,married,university.degree,no,no,no,telephone,jun,fri
4109,31,blue-collar,married,professional.course,no,no,no,telephone,jun,tue
4110,69,services,married,unknown,no,no,no,telephone,jul,wed
4111,38,blue-collar,divorced,unknown,no,yes,no,telephone,may,wed
4112,29,technician,married,high.school,no,no,no,cellular,jul,mon
4113,54,admin.,married,university.degree,no,no,no,cellular,aug,tue
4114,35,technician,married,high.school,no,no,yes,cellular,nov,wed
4115,44,services,married,basic.9y,no,yes,no,telephone,may,fri
4116,41,management,married,university.degree,no,no,no,cellular,nov,mon
4117,36,blue-collar,married,professional.course,no,unknown,unknown,cellular,jul,wed
4118,24,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri
4119,31,admin.,married,university.degree,no,yes,no,cellular,oct,thu
4120,53,retired,married,basic.4y,unknown,yes,no,telephone,may,thu
4121,31,services,single,high.school,no,yes,no,telephone,jun,wed
4122,53,technician,married,high.school,no,no,no,telephone,may,fri
4123,50,admin.,married,university.degree,no,no,no,cellular,jul,fri
4124,56,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,wed
4125,50,unknown,married,unknown,unknown,no,no,cellular,jul,mon
4126,49,management,married,university.degree,no,yes,no,telephone,jul,tue
4127,33,services,married,high.school,no,yes,no,cellular,apr,thu
4128,28,blue-collar,single,basic.9y,unknown,yes,no,cellular,may,fri
4129,43,admin.,married,high.school,no,yes,yes,cellular,jul,mon
4130,51,blue-collar,married,basic.9y,unknown,no,no,telephone,may,fri
4131,26,student,single,university.degree,no,yes,no,cellular,jul,mon
4132,51,admin.,married,university.degree,no,no,yes,cellular,jul,fri
4133,29,admin.,single,university.degree,no,no,yes,cellular,aug,tue
4134,26,retired,single,high.school,no,unknown,unknown,cellular,jun,wed
4135,75,housemaid,divorced,basic.4y,no,no,no,telephone,nov,mon
4136,23,services,married,basic.9y,unknown,yes,no,cellular,may,mon
4137,43,entrepreneur,married,high.school,no,no,no,telephone,may,tue
4138,40,unemployed,divorced,high.school,no,no,no,telephone,may,thu
4139,28,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue
4140,33,management,married,basic.9y,unknown,no,no,telephone,may,fri
4141,44,blue-collar,married,basic.6y,no,yes,no,telephone,jun,fri
4142,38,technician,married,professional.course,no,yes,no,cellular,apr,thu
4143,26,blue-collar,single,basic.9y,no,no,no,cellular,may,thu
4144,34,admin.,single,high.school,no,no,no,telephone,may,fri
4145,55,admin.,married,university.degree,no,yes,no,cellular,aug,tue
4146,52,blue-collar,married,basic.4y,no,no,no,telephone,may,tue
4147,30,technician,single,professional.course,no,yes,no,cellular,aug,thu
4148,50,technician,married,professional.course,no,no,no,telephone,may,tue
4149,28,blue-collar,single,basic.9y,unknown,no,no,cellular,may,tue
4150,29,blue-collar,single,basic.4y,no,yes,no,cellular,may,fri
4151,24,blue-collar,single,basic.4y,no,no,no,telephone,jun,wed
4152,41,technician,married,university.degree,no,yes,yes,cellular,aug,thu
4153,25,admin.,married,high.school,no,yes,no,cellular,nov,thu
4154,37,blue-collar,married,professional.course,no,no,no,telephone,may,thu
4155,58,admin.,divorced,high.school,no,no,no,cellular,aug,tue
4156,46,admin.,married,university.degree,no,no,no,telephone,mar,thu
4157,26,blue-collar,single,high.school,no,yes,yes,cellular,jul,mon
4158,58,admin.,divorced,high.school,no,no,no,telephone,oct,thu
4159,53,admin.,divorced,university.degree,no,yes,no,cellular,jul,wed
4160,26,admin.,married,university.degree,no,yes,no,cellular,mar,mon
4161,28,technician,divorced,professional.course,no,yes,no,cellular,may,tue
4162,30,admin.,single,university.degree,no,yes,no,cellular,aug,fri
4163,35,blue-collar,married,basic.6y,no,yes,no,cellular,nov,tue
4164,37,self-employed,single,university.degree,no,yes,no,cellular,apr,thu
4165,57,retired,married,basic.9y,no,no,no,cellular,aug,tue
4166,28,admin.,single,high.school,unknown,no,no,cellular,may,thu
4167,53,management,married,university.degree,no,yes,no,telephone,may,thu
4168,40,blue-collar,married,basic.9y,no,no,no,telephone,may,thu
4169,52,management,married,university.degree,no,yes,no,telephone,may,wed
4170,32,student,single,high.school,no,yes,no,cellular,jul,thu
4171,28,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,mon
4172,31,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon
4173,39,management,married,high.school,no,no,yes,cellular,jul,thu
4174,28,technician,single,university.degree,no,yes,no,cellular,mar,mon
4175,30,blue-collar,single,basic.4y,no,no,no,telephone,jun,mon
4176,31,services,single,high.school,no,no,no,cellular,may,wed
4177,50,admin.,married,university.degree,no,no,no,cellular,jul,thu
4178,42,admin.,single,high.school,no,yes,no,cellular,nov,mon
4179,28,admin.,married,high.school,no,yes,no,cellular,jul,thu
4180,56,housemaid,married,high.school,no,yes,yes,telephone,may,mon
4181,31,technician,married,high.school,unknown,no,no,telephone,may,tue
4182,47,admin.,married,university.degree,no,yes,no,telephone,may,mon
4183,30,admin.,single,university.degree,no,yes,no,telephone,may,mon
4184,33,admin.,single,university.degree,no,no,no,cellular,aug,wed
4185,29,admin.,single,university.degree,no,yes,no,cellular,nov,thu
4186,28,blue-collar,single,basic.9y,no,no,yes,telephone,may,fri
4187,59,housemaid,married,basic.4y,no,no,yes,cellular,jul,thu
4188,48,admin.,married,unknown,unknown,no,yes,cellular,nov,tue
4189,31,student,single,unknown,unknown,yes,no,cellular,apr,thu
4190,64,unemployed,married,basic.4y,no,yes,no,cellular,nov,thu
4191,38,admin.,married,university.degree,no,yes,no,cellular,apr,tue
4192,46,housemaid,married,basic.4y,no,yes,no,telephone,may,wed
4193,32,entrepreneur,married,basic.6y,no,yes,yes,cellular,nov,wed
4194,36,blue-collar,single,basic.9y,no,no,yes,cellular,may,thu
4195,34,technician,married,unknown,no,yes,no,cellular,nov,tue
4196,29,blue-collar,married,basic.9y,no,no,yes,telephone,jun,thu
4197,24,services,single,professional.course,no,yes,no,cellular,jul,wed
4198,32,blue-collar,married,basic.4y,no,yes,yes,cellular,may,wed
4199,32,blue-collar,married,high.school,no,yes,no,cellular,may,wed
4200,80,retired,married,basic.4y,no,no,no,cellular,mar,fri
4201,49,admin.,married,high.school,no,yes,no,cellular,aug,wed
4202,31,technician,married,university.degree,no,yes,no,cellular,may,mon
4203,48,blue-collar,married,basic.9y,no,yes,no,cellular,jul,tue
4204,32,admin.,divorced,university.degree,no,no,no,cellular,aug,wed
4205,48,technician,married,high.school,no,yes,no,cellular,jun,tue
4206,33,entrepreneur,married,university.degree,no,no,yes,telephone,jun,thu
4207,38,blue-collar,divorced,basic.4y,no,yes,no,cellular,jul,tue
4208,54,technician,married,university.degree,no,yes,no,cellular,jul,thu
4209,27,admin.,single,professional.course,no,yes,yes,telephone,apr,thu
4210,42,retired,married,basic.9y,unknown,no,no,telephone,jun,mon
4211,30,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon
4212,28,admin.,single,university.degree,no,yes,no,telephone,jul,thu
4213,47,admin.,married,university.degree,no,yes,no,cellular,jul,tue
4214,32,services,single,high.school,no,no,no,telephone,jun,mon
4215,42,technician,divorced,high.school,no,yes,no,cellular,may,wed
4216,33,admin.,single,high.school,no,no,no,cellular,nov,wed
4217,27,student,single,high.school,no,yes,no,cellular,dec,tue
4218,39,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue
4219,30,technician,divorced,university.degree,no,yes,no,cellular,aug,fri
4220,40,admin.,single,university.degree,no,no,yes,cellular,aug,thu
4221,34,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed
4222,51,admin.,single,university.degree,no,no,no,cellular,jun,fri
4223,56,services,divorced,high.school,unknown,no,no,telephone,may,thu
4224,25,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon
4225,50,entrepreneur,married,university.degree,no,yes,no,cellular,nov,thu
4226,28,unemployed,married,basic.9y,no,yes,no,cellular,may,fri
4227,50,housemaid,married,basic.4y,no,no,no,cellular,nov,tue
4228,35,entrepreneur,married,high.school,no,yes,no,cellular,nov,mon
4229,48,services,married,high.school,no,yes,no,cellular,aug,thu
4230,54,technician,married,professional.course,no,no,yes,telephone,jul,fri
4231,45,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue
4232,28,admin.,single,high.school,no,yes,no,cellular,mar,tue
4233,42,entrepreneur,single,university.degree,no,yes,no,cellular,nov,wed
4234,32,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed
4235,33,admin.,single,university.degree,no,yes,no,cellular,nov,fri
4236,46,blue-collar,married,basic.6y,no,yes,yes,cellular,aug,tue
4237,24,services,single,high.school,no,no,no,telephone,may,fri
4238,44,services,married,professional.course,no,no,yes,cellular,aug,mon
4239,28,technician,single,professional.course,no,yes,no,cellular,jul,tue
4240,31,admin.,single,university.degree,no,yes,yes,cellular,jul,tue
4241,38,technician,single,professional.course,no,no,no,cellular,jul,tue
4242,41,blue-collar,married,unknown,unknown,yes,no,cellular,apr,fri
4243,28,blue-collar,single,basic.4y,unknown,no,no,cellular,jul,wed
4244,33,blue-collar,married,basic.6y,unknown,no,no,telephone,may,thu
4245,28,admin.,single,high.school,no,yes,no,cellular,jul,thu
4246,55,retired,married,university.degree,unknown,yes,no,telephone,jun,thu
4247,47,technician,married,university.degree,no,yes,no,cellular,aug,thu
4248,22,blue-collar,single,basic.6y,unknown,yes,no,cellular,jul,tue
4249,33,services,married,high.school,no,yes,yes,cellular,jul,tue
4250,44,services,married,basic.9y,unknown,no,no,telephone,jun,wed
4251,47,management,married,basic.4y,unknown,no,no,telephone,may,fri
4252,44,technician,married,high.school,no,yes,no,telephone,jul,tue
4253,58,entrepreneur,married,high.school,no,no,no,cellular,sep,mon
4254,25,services,single,high.school,no,yes,no,telephone,oct,thu
4255,32,admin.,married,university.degree,no,yes,yes,telephone,may,mon
4256,28,admin.,single,university.degree,no,yes,no,cellular,may,fri
4257,30,services,married,university.degree,no,yes,no,telephone,may,wed
4258,35,services,single,high.school,unknown,yes,no,telephone,may,thu
4259,28,services,married,high.school,no,yes,no,telephone,jul,tue
4260,48,technician,married,high.school,no,no,no,cellular,aug,wed
4261,24,student,single,high.school,no,no,no,cellular,jul,wed
4262,45,blue-collar,married,basic.9y,no,no,no,telephone,may,wed
4263,34,services,married,high.school,unknown,unknown,unknown,telephone,jun,fri
4264,35,services,married,high.school,no,unknown,unknown,cellular,may,fri
4265,61,retired,married,basic.9y,no,no,no,cellular,may,mon
4266,46,blue-collar,married,basic.6y,unknown,no,no,telephone,may,wed
4267,49,blue-collar,married,unknown,unknown,no,no,cellular,jul,mon
4268,37,unemployed,married,university.degree,no,yes,no,telephone,jun,tue
4269,43,management,married,university.degree,no,yes,no,cellular,nov,tue
4270,31,services,single,university.degree,no,yes,no,telephone,aug,wed
4271,51,blue-collar,married,high.school,no,no,yes,telephone,may,fri
4272,26,services,divorced,basic.6y,no,yes,no,telephone,may,wed
4273,31,management,single,high.school,no,no,no,telephone,may,mon
4274,52,self-employed,single,university.degree,unknown,no,no,telephone,may,wed
4275,31,management,married,university.degree,no,no,yes,cellular,aug,wed
4276,54,blue-collar,married,basic.4y,unknown,yes,yes,cellular,may,thu
4277,43,unemployed,married,high.school,no,yes,no,telephone,may,wed
4278,28,entrepreneur,married,basic.4y,unknown,yes,no,telephone,may,wed
4279,42,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,thu
4280,29,admin.,married,high.school,no,no,no,cellular,jul,wed
4281,34,technician,married,professional.course,no,yes,no,cellular,aug,fri
4282,27,blue-collar,single,basic.4y,no,no,yes,cellular,jul,thu
4283,25,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed
4284,51,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon
4285,58,retired,married,professional.course,no,no,yes,cellular,jul,thu
4286,46,services,married,basic.4y,unknown,no,no,telephone,may,fri
4287,54,admin.,single,university.degree,unknown,yes,no,cellular,aug,tue
4288,32,admin.,married,university.degree,no,no,no,telephone,may,fri
4289,58,blue-collar,divorced,basic.4y,no,no,no,cellular,aug,fri
4290,36,technician,married,university.degree,no,yes,no,cellular,aug,thu
4291,45,services,married,high.school,unknown,no,no,cellular,nov,tue
4292,48,admin.,married,professional.course,unknown,yes,no,telephone,may,fri
4293,26,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,tue
4294,26,technician,single,university.degree,no,no,no,cellular,may,fri
4295,31,admin.,single,university.degree,no,yes,yes,cellular,aug,thu
4296,26,admin.,married,high.school,no,yes,no,telephone,apr,mon
4297,38,admin.,married,university.degree,no,no,no,telephone,may,tue
4298,33,unemployed,single,university.degree,no,yes,no,telephone,may,tue
4299,31,admin.,married,high.school,no,yes,no,cellular,may,tue
4300,37,entrepreneur,married,basic.9y,no,yes,no,cellular,may,mon
4301,45,blue-collar,divorced,basic.4y,no,yes,no,cellular,jul,wed
4302,28,technician,single,unknown,no,yes,no,cellular,jul,fri
4303,40,technician,married,professional.course,unknown,no,no,telephone,may,mon
4304,49,admin.,divorced,university.degree,no,yes,no,cellular,jun,tue
4305,30,housemaid,married,high.school,unknown,no,no,telephone,may,thu
4306,48,admin.,married,university.degree,no,yes,yes,cellular,jul,mon
4307,56,management,married,basic.4y,unknown,yes,no,cellular,jul,tue
4308,48,technician,single,unknown,no,yes,no,telephone,may,fri
4309,27,blue-collar,single,university.degree,no,yes,no,cellular,apr,thu
4310,34,management,married,basic.4y,no,yes,no,cellular,may,thu
4311,37,services,single,high.school,no,yes,no,cellular,may,thu
4312,46,blue-collar,married,basic.6y,unknown,no,yes,telephone,may,thu
4313,35,admin.,married,basic.9y,no,no,yes,telephone,jun,mon
4314,35,admin.,single,high.school,no,yes,no,cellular,jul,fri
4315,64,unemployed,married,university.degree,no,yes,no,cellular,aug,tue
4316,25,student,single,university.degree,no,no,no,cellular,aug,thu
4317,24,student,single,high.school,unknown,no,no,cellular,jul,tue
4318,43,services,married,high.school,no,no,no,telephone,may,tue
4319,24,services,single,university.degree,no,no,no,cellular,jul,thu
4320,27,admin.,single,university.degree,no,yes,no,cellular,apr,tue
4321,36,blue-collar,divorced,basic.9y,no,no,no,telephone,jul,wed
4322,53,blue-collar,divorced,basic.4y,no,yes,no,telephone,may,fri
4323,57,retired,married,basic.6y,no,no,no,cellular,may,tue
4324,30,services,married,high.school,no,yes,no,telephone,may,wed
4325,38,blue-collar,married,basic.6y,no,no,no,cellular,jul,wed
4326,47,self-employed,married,basic.9y,no,yes,no,cellular,aug,fri
4327,40,admin.,married,university.degree,no,yes,yes,cellular,aug,tue
4328,36,admin.,single,professional.course,no,yes,no,cellular,may,mon
4329,35,management,married,university.degree,no,yes,no,cellular,aug,mon
4330,70,housemaid,married,basic.4y,no,no,no,cellular,mar,thu
4331,35,services,married,high.school,unknown,yes,no,telephone,may,tue
4332,50,management,married,university.degree,no,yes,no,telephone,oct,thu
4333,30,management,married,university.degree,no,yes,no,cellular,oct,tue
4334,26,housemaid,married,university.degree,no,no,no,telephone,may,tue
4335,34,technician,married,professional.course,no,no,no,cellular,aug,tue
4336,29,admin.,single,university.degree,no,no,no,cellular,may,wed
4337,40,admin.,married,high.school,no,no,no,telephone,may,fri
4338,38,admin.,divorced,high.school,no,yes,no,telephone,may,fri
4339,43,technician,married,professional.course,no,no,no,telephone,may,fri
4340,32,housemaid,single,high.school,no,no,no,telephone,jun,thu
4341,38,blue-collar,single,basic.4y,no,no,yes,cellular,may,thu
4342,34,technician,single,university.degree,no,yes,no,cellular,jul,thu
4343,42,self-employed,single,professional.course,no,yes,no,telephone,jul,thu
4344,43,entrepreneur,married,basic.9y,no,yes,yes,cellular,nov,tue
4345,22,student,single,basic.9y,no,no,no,cellular,oct,fri
4346,52,technician,divorced,university.degree,no,no,yes,cellular,aug,tue
4347,39,blue-collar,single,basic.9y,no,no,no,cellular,may,mon
4348,30,services,married,high.school,unknown,unknown,unknown,telephone,jun,fri
4349,32,admin.,married,university.degree,no,yes,no,cellular,aug,mon
4350,22,student,single,high.school,no,no,no,cellular,may,tue
4351,45,admin.,single,university.degree,no,no,no,cellular,aug,thu
4352,31,management,single,university.degree,no,no,no,cellular,nov,tue
4353,37,technician,single,university.degree,no,yes,no,telephone,may,thu
4354,54,management,married,university.degree,no,no,no,cellular,nov,tue
4355,47,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed
4356,41,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,fri
4357,39,entrepreneur,married,basic.9y,unknown,yes,yes,cellular,may,thu
4358,37,admin.,married,high.school,no,no,no,cellular,jun,wed
4359,36,blue-collar,married,basic.6y,no,no,no,cellular,nov,wed
4360,57,admin.,divorced,unknown,unknown,no,no,telephone,jun,tue
4361,44,technician,married,professional.course,unknown,no,no,telephone,may,thu
4362,27,admin.,married,high.school,no,yes,no,cellular,may,wed
4363,44,admin.,married,high.school,no,yes,no,telephone,may,tue
4364,50,blue-collar,married,basic.4y,no,yes,no,cellular,may,tue
4365,59,retired,married,university.degree,no,no,no,telephone,may,tue
4366,42,housemaid,married,basic.9y,no,yes,yes,cellular,jul,thu
4367,34,technician,married,university.degree,no,yes,no,cellular,aug,thu
4368,30,technician,divorced,basic.9y,no,yes,yes,cellular,nov,wed
4369,24,admin.,single,university.degree,no,yes,no,telephone,jun,tue
4370,45,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue
4371,38,technician,married,professional.course,no,no,no,cellular,apr,mon
4372,41,admin.,married,university.degree,no,yes,no,cellular,aug,fri
4373,49,blue-collar,married,basic.9y,no,yes,no,cellular,nov,fri
4374,68,retired,married,university.degree,no,no,no,cellular,mar,wed
4375,37,technician,married,university.degree,unknown,no,no,cellular,jul,thu
4376,43,entrepreneur,single,university.degree,no,no,yes,cellular,jul,fri
4377,33,admin.,single,university.degree,no,yes,no,cellular,aug,tue
4378,66,housemaid,married,basic.4y,no,no,yes,cellular,jul,tue
4379,43,management,married,university.degree,unknown,yes,yes,cellular,apr,fri
4380,44,admin.,married,university.degree,no,no,no,cellular,apr,thu
4381,36,services,married,high.school,no,no,yes,telephone,may,tue
4382,46,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,wed
4383,32,blue-collar,married,basic.4y,no,no,no,telephone,may,mon
4384,48,technician,divorced,professional.course,no,yes,no,cellular,jul,tue
4385,57,retired,divorced,university.degree,unknown,no,no,cellular,aug,thu
4386,34,admin.,single,university.degree,no,yes,no,cellular,aug,thu
4387,35,admin.,married,high.school,no,yes,no,telephone,jun,wed
4388,45,management,married,basic.9y,unknown,yes,no,cellular,jul,mon
4389,38,management,married,unknown,no,no,no,telephone,may,thu
4390,50,services,married,basic.6y,no,yes,no,telephone,may,mon
4391,25,management,single,university.degree,no,yes,yes,cellular,jul,fri
4392,58,retired,married,basic.4y,no,yes,no,cellular,aug,fri
4393,33,admin.,married,university.degree,no,no,yes,cellular,jul,tue
4394,30,admin.,divorced,high.school,no,no,no,cellular,nov,wed
4395,29,blue-collar,single,high.school,unknown,unknown,unknown,telephone,may,thu
4396,33,management,single,university.degree,no,yes,no,cellular,jul,fri
4397,27,blue-collar,single,basic.6y,no,no,no,cellular,jul,thu
4398,56,entrepreneur,married,unknown,unknown,no,yes,telephone,jun,thu
4399,56,technician,married,professional.course,unknown,no,no,telephone,may,thu
4400,60,retired,divorced,high.school,unknown,yes,no,telephone,may,wed
4401,34,blue-collar,married,unknown,no,no,yes,cellular,may,wed
4402,49,services,divorced,high.school,no,yes,no,cellular,jul,tue
4403,50,admin.,married,high.school,no,no,no,cellular,nov,tue
4404,31,technician,married,high.school,unknown,yes,no,cellular,may,tue
4405,38,management,single,university.degree,no,yes,yes,cellular,nov,thu
4406,34,admin.,married,university.degree,no,yes,no,cellular,may,mon
4407,56,admin.,married,basic.9y,no,yes,no,cellular,jun,fri
4408,47,housemaid,married,basic.6y,unknown,no,yes,cellular,jul,thu
4409,41,admin.,married,university.degree,no,yes,no,cellular,jul,tue
4410,39,services,married,high.school,no,no,no,cellular,may,mon
4411,27,admin.,single,basic.9y,no,yes,yes,cellular,jul,tue
4412,53,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed
4413,55,admin.,married,basic.9y,unknown,yes,no,cellular,aug,fri
4414,32,admin.,single,university.degree,no,no,no,cellular,nov,mon
4415,39,admin.,single,university.degree,no,yes,no,cellular,jul,wed
4416,46,technician,divorced,professional.course,no,no,no,telephone,jun,wed
4417,35,admin.,married,university.degree,no,yes,no,cellular,aug,fri
4418,47,admin.,married,university.degree,no,no,no,cellular,sep,fri
4419,32,admin.,single,university.degree,no,yes,no,cellular,dec,tue
4420,32,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon
4421,51,admin.,single,university.degree,no,no,no,telephone,jul,fri
4422,59,blue-collar,married,basic.4y,no,yes,no,cellular,aug,tue
4423,41,management,married,university.degree,no,yes,yes,telephone,jun,fri
4424,23,blue-collar,single,high.school,no,no,no,cellular,jul,wed
4425,31,admin.,married,university.degree,no,no,no,cellular,aug,tue
4426,38,technician,divorced,high.school,no,no,no,telephone,apr,fri
4427,33,blue-collar,single,basic.4y,no,yes,no,cellular,oct,fri
4428,48,technician,married,professional.course,no,yes,yes,cellular,oct,mon
4429,51,blue-collar,divorced,basic.4y,no,yes,no,cellular,jul,wed
4430,56,management,married,university.degree,no,yes,no,cellular,nov,mon
4431,36,admin.,single,university.degree,no,yes,no,telephone,nov,thu
4432,31,admin.,married,high.school,no,no,no,telephone,may,fri
4433,35,admin.,married,basic.6y,no,yes,no,telephone,may,tue
4434,38,blue-collar,married,basic.9y,no,no,yes,cellular,apr,mon
4435,54,management,married,university.degree,no,no,yes,cellular,jul,tue
4436,45,admin.,married,high.school,no,yes,no,telephone,jun,mon
4437,30,admin.,single,university.degree,no,no,yes,telephone,jul,tue
4438,30,admin.,single,university.degree,no,yes,yes,cellular,apr,tue
4439,49,technician,married,university.degree,no,no,no,cellular,aug,tue
4440,25,technician,single,professional.course,no,yes,no,cellular,jul,thu
4441,44,entrepreneur,single,university.degree,no,yes,no,cellular,may,fri
4442,54,blue-collar,married,university.degree,unknown,yes,no,cellular,aug,thu
4443,36,admin.,married,university.degree,no,no,no,cellular,oct,wed
4444,41,management,divorced,basic.6y,no,yes,no,cellular,nov,thu
4445,36,technician,married,university.degree,no,no,no,telephone,may,wed
4446,31,blue-collar,married,basic.6y,no,no,no,telephone,jun,wed
4447,27,services,single,high.school,unknown,no,no,telephone,may,fri
4448,31,admin.,married,high.school,no,no,no,telephone,jul,tue
4449,33,services,married,high.school,no,yes,yes,cellular,apr,mon
4450,36,management,married,university.degree,no,no,no,cellular,jul,wed
4451,38,technician,divorced,high.school,no,yes,no,cellular,aug,mon
4452,46,blue-collar,divorced,basic.6y,no,yes,yes,telephone,jun,fri
4453,49,technician,married,professional.course,no,no,no,telephone,may,fri
4454,53,housemaid,single,basic.4y,unknown,no,no,telephone,may,thu
4455,41,technician,single,high.school,no,yes,no,cellular,aug,wed
4456,51,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,wed
4457,36,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue
4458,31,blue-collar,divorced,professional.course,no,yes,no,telephone,may,tue
4459,41,admin.,single,high.school,no,no,no,cellular,may,mon
4460,39,technician,married,unknown,no,yes,no,cellular,jul,thu
4461,46,services,divorced,high.school,unknown,yes,no,cellular,apr,mon
4462,55,technician,divorced,university.degree,unknown,no,no,telephone,may,thu
4463,38,admin.,single,university.degree,no,yes,no,cellular,jul,mon
4464,42,unknown,single,university.degree,no,yes,no,cellular,jul,fri
4465,35,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu
4466,43,blue-collar,married,basic.6y,unknown,yes,yes,telephone,jun,tue
4467,47,entrepreneur,married,university.degree,no,no,no,cellular,apr,thu
4468,29,self-employed,married,university.degree,no,no,no,telephone,may,thu
4469,51,self-employed,married,university.degree,unknown,unknown,unknown,cellular,nov,fri
4470,55,unknown,married,unknown,unknown,yes,no,cellular,aug,thu
4471,38,admin.,married,high.school,no,yes,no,telephone,jul,thu
4472,26,blue-collar,single,unknown,no,yes,yes,telephone,jun,wed
4473,51,services,divorced,high.school,unknown,yes,no,telephone,may,tue
4474,51,entrepreneur,married,basic.9y,no,no,no,cellular,aug,wed
4475,36,entrepreneur,married,university.degree,no,no,no,telephone,jul,fri
4476,37,blue-collar,married,high.school,unknown,no,no,cellular,may,fri
4477,33,technician,single,university.degree,no,no,no,telephone,nov,fri
4478,58,retired,married,professional.course,unknown,no,no,telephone,jul,tue
4479,36,admin.,married,university.degree,unknown,yes,no,telephone,may,wed
4480,37,blue-collar,married,professional.course,no,yes,no,telephone,jun,mon
4481,36,admin.,married,university.degree,no,yes,no,cellular,apr,thu
4482,52,blue-collar,married,basic.4y,unknown,no,no,cellular,may,wed
4483,33,admin.,married,university.degree,no,no,no,cellular,aug,mon
4484,31,blue-collar,single,basic.9y,no,yes,yes,cellular,jun,tue
4485,32,technician,married,high.school,no,no,no,cellular,may,fri
4486,33,blue-collar,married,high.school,no,no,no,cellular,jul,mon
4487,26,housemaid,married,basic.4y,no,no,no,cellular,jul,thu
4488,43,services,married,high.school,no,yes,no,telephone,apr,wed
4489,49,technician,married,university.degree,no,no,no,telephone,may,mon
4490,53,services,married,high.school,unknown,yes,no,telephone,jun,thu
4491,69,retired,divorced,basic.4y,no,no,no,cellular,apr,mon
4492,47,admin.,married,high.school,no,yes,yes,cellular,aug,thu
